type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,237424,4680,37664,54313
plain,33056,2,163353,5775,36496,55516
plain,33056,4,164956,4601,37338,55836
plain,33056,8,165481,4243,38245,54875
plain,33056,16,167088,3834,37683,55205
plain,65824,1,239782,6304,39365,26585
plain,65824,2,157832,13361,38228,27464
plain,65824,4,162312,13337,39559,28886
plain,65824,8,157290,9260,39741,28062
plain,65824,16,153389,11636,39804,28125
plain,131360,1,268034,10136,40050,13142
plain,131360,2,154067,13177,40549,13403
plain,131360,4,152296,11722,40138,14147
plain,131360,8,152123,11536,41783,14652
plain,131360,16,146120,9030,40693,16517
plain,262432,1,241604,2109,41042,6523
plain,262432,2,134079,2963,40737,6776
plain,262432,4,134491,3481,41375,6942
plain,262432,8,140002,5437,41762,7181
plain,262432,16,150638,9443,41711,7458
plain,524576,1,343969,581,39522,3251
plain,524576,2,198523,1481,38949,3402
plain,524576,4,194059,2385,40736,3552
plain,524576,8,195374,4605,40661,3588
plain,524576,16,195767,6327,40352,5400
