type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,225852,6757,60948,68250
plain,33056,2,225705,41306,49196,66869
plain,33056,4,218397,23029,52608,70906
plain,33056,8,222037,17956,55997,70890
plain,33056,16,218637,10665,58553,69919
plain,65824,1,216256,11228,64761,33015
plain,65824,2,198126,45158,51861,32757
plain,65824,4,202569,47938,52351,36755
plain,65824,8,209291,36099,55062,43396
plain,65824,16,200250,20039,60603,39211
plain,131360,1,195154,12719,67511,16149
plain,131360,2,174816,32241,58039,16400
plain,131360,4,179843,43097,54359,19234
plain,131360,8,193504,58209,50969,22588
plain,131360,16,191747,25015,60529,25870
plain,262432,1,206744,2271,67210,8251
plain,262432,2,160558,22104,58702,8284
plain,262432,4,163829,35199,54274,9416
plain,262432,8,176385,59634,49175,10179
plain,262432,16,201637,85681,46084,11355
plain,524576,1,280765,820,65455,4085
plain,524576,2,155959,20794,59191,4225
plain,524576,4,158706,34091,53822,4620
plain,524576,8,172380,57968,48292,5161
plain,524576,16,226061,85395,44341,5341
