type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,173331,3792,36856,42496
plain,33056,2,156774,4217,36309,42749
plain,33056,4,153811,3591,37347,42639
plain,33056,8,162520,3750,37971,42366
plain,33056,16,154910,3373,36839,42818
plain,65824,1,165828,5684,37945,20810
plain,65824,2,156363,8867,37819,20682
plain,65824,4,157365,5972,39092,20675
plain,65824,8,161899,7329,39191,20696
plain,65824,16,159297,10046,39005,20681
plain,131360,1,168034,7854,39806,10372
plain,131360,2,143189,8205,39529,10222
plain,131360,4,152435,7322,39960,10170
plain,131360,8,147158,7579,40567,10378
plain,131360,16,144225,8487,39540,10359
plain,262432,1,175913,2453,39889,5109
plain,262432,2,149565,1951,40076,5140
plain,262432,4,159374,1939,39931,5168
plain,262432,8,148620,2071,40752,5165
plain,262432,16,150968,2084,39651,5151
plain,524576,1,256082,441,38115,2585
plain,524576,2,222924,1028,38102,2534
plain,524576,4,231956,655,38769,2563
plain,524576,8,227250,582,39662,2569
plain,524576,16,209900,710,38441,2597
