thread,HTM-block,Checkpoint-block,Abort
1,.2417882,.0000004,.0560996
2,.2086840,.0000281,.0037298
4,.2326474,.0001025,.0035153
8,.2508593,.0003372,.0024311
16,1.8504415,.0004465,.0022409
