thread,HTM-block,Checkpoint-block,Abort
1,.3742950,.0000016,.0428290
2,.1542563,.0000683,.0150721
4,.1902146,.0002065,.0105692
8,.6424034,.0000704,.0064628
16,2.4555085,.0000084,.0036321
