thread,HTM-block,Checkpoint-block,Abort
1,.0075346,0,.0503790
2,.0042319,.0000330,.0061691
4,.0877749,.0013052,.0036443
8,.1728759,.0098978,.0025410
16,.2110588,.0440560,.0019913
