thread,HTM-block,Checkpoint-block,Abort
1,.1939248,.0000058,.0361456
2,.1849496,.0000370,.0076656
4,.2118695,.0001687,.0056973
8,.3303215,.0002742,.0036208
16,2.0207609,.0000495,.0032853
