thread,HTM-block,Checkpoint-block,Abort
1,.0130676,.0003800,.5308704
2,.0185508,.0301492,.1985571
4,.1788968,.0946003,.0741633
8,.2196360,.2430121,.0298104
16,.1481084,.4706685,.0156251
