thread,HTM-block,Checkpoint-block,Abort
1,.4049374,.0000010,.0399736
2,.6719764,.0000150,.0160716
4,.9792865,.0000123,.0113845
8,1.6255384,.0000051,.0093710
16,3.1020693,.0000019,.0052429
