thread,HTM-block,Checkpoint-block,Abort
1,.0060258,0,.0456314
2,.0060498,.0000592,.0066615
4,.1420234,.0021413,.0038133
8,.2086143,.0132163,.0034231
16,.3625869,.0696011,.0025241
