thread,HTM-block,Checkpoint-block,Abort
1,.6634044,.0003762,.5377356
2,.2865963,.0214447,.2205436
4,.4418687,.0247325,.0990275
8,1.5882178,.0109029,.0666787
16,4.9472894,.0031275,.0457298
