thread,HTM-block,Checkpoint-block,Abort
1,.5157898,.0003738,.5376668
2,.4262288,.0226707,.2125818
4,.4537077,.0324044,.0781095
8,.5113340,.0477669,.0324784
16,.6170481,.0580459,.0163982
