thread,HTM-block,Checkpoint-block,Abort
1,.2265768,.0000024,.0287456
2,.2076702,.0000262,.0045395
4,.2355645,.0001283,.0037364
8,.2631144,.0003218,.0033210
16,1.8521068,.0001908,.0027522
