thread,HTM-block,Checkpoint-block,Abort
1,.0052862,0,.0359238
2,.0069256,.0000910,.0092280
4,.1218543,.0024645,.0054486
8,.2400384,.0189977,.0036384
16,.3617935,.1101472,.0038726
