thread,HTM-block,Checkpoint-block,Abort
1,.4332926,.0003804,.5364448
2,.3331509,.0212263,.2203657
4,.4385030,.0255641,.0904122
8,.8918474,.0263616,.0467621
16,4.9555990,.0039842,.0425340
