thread,HTM-block,Checkpoint-block,Abort
1,.1231364,.0003746,.5423374
2,.1254570,.0586192,.2186658
4,.2752599,.2472256,.0898856
8,.3635222,1.5241091,.0433811
16,.5050936,7.0209930,.0258287
