thread,HTM-block,Checkpoint-block,Abort
1,.0228936,.0003776,.5358008
2,.0078623,.0286755,.1957752
4,.1499455,.0893523,.0703783
8,.1999913,.2268356,.0285302
16,.1271121,.3970421,.0151286
