thread,HTM-block,Checkpoint-block,Abort
1,.0052922,0,.0356990
2,.0085951,.0008845,.0144662
4,.1276337,.0052569,.0090082
8,.2913748,.0722636,.0058005
16,2.2312704,.1106790,.0055413
