thread,HTM-block,Checkpoint-block,Abort
1,.0172318,.0003772,.5196056
2,.0077903,.0288704,.1952184
4,.1651340,.0920743,.0720949
8,.1961644,.2340641,.0282909
16,.1323453,.4196340,.0155295
