thread,HTM-block,Checkpoint-block,Abort
1,.0042330,0,.0339036
2,.0085314,.0000419,.0063473
4,.1040525,.0013833,.0036779
8,.1860359,.0116233,.0027036
16,.2331154,.0571464,.0020562
