,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.012908,0.345508,0.903489
2,1.146225,0.208493,0.574463
4,0.863139,0.122254,0.425944
8,1.143037,0.063953,0.401419
16,5.225742,0.037619,2.239697
