,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.613499,0.269194,0.377316
2,0.328072,0.138739,0.232877
4,0.189092,0.10508,0.139479
8,0.114845,0.05714,0.076968
16,0.069188,0.03236,0.04282
