,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.115109,0.247995,0.34659
6,0.355055,0.0738,0.097281
11,0.375481,0.047795,0.059403
16,1.063152,0.041527,0.045639
21,12.455887,0.043323,0.0501
26,31.329931,0.041443,0.051515
