,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,1.521206,0.322119,0.764159
2,0.811861,0.197954,0.390233
4,0.691864,0.124573,0.329522
8,0.727497,0.062466,0.351839
16,1.01051,0.037503,0.506658
