,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.445618,0.26296,0.335772
2,0.233485,0.13539,0.181869
4,0.126277,0.1004,0.131925
8,0.088383,0.055028,0.071897
16,0.048946,0.031939,0.040811
