,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.140002,0.355769,1.03346
2,1.255617,0.208514,0.627385
4,0.926051,0.124982,0.460392
8,0.800429,0.063585,0.407008
16,0.883535,0.037539,0.467289
