,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.331675,0.205604,0.222157
2,1.234334,0.128409,0.147853
4,0.6927,0.065293,0.079385
8,0.419353,0.037238,0.044485
16,0.256726,0.023436,0.027488
