type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,2671.8000000,1.0000000,0,0
plain,33056,2,439.8000000,323.6000000,0,0
plain,33056,4,2164.2000000,2065.8000000,.6000000,0
plain,33056,8,439.4000000,303.6000000,0,0
plain,33056,16,630.0000000,288.2000000,0,0
plain,65824,1,14164.8000000,.6000000,0,0
plain,65824,2,481.0000000,284.6000000,0,0
plain,65824,4,2225.4000000,2067.2000000,.6000000,0
plain,65824,8,477.4000000,298.0000000,0,0
plain,65824,16,612.2000000,295.8000000,0,0
plain,131360,1,6623.4000000,.8000000,0,0
plain,131360,2,422.0000000,271.4000000,0,0
plain,131360,4,2094.8000000,1990.2000000,0,0
plain,131360,8,449.4000000,290.0000000,0,0
plain,131360,16,626.2000000,284.0000000,0,0
plain,262432,1,4094.4000000,2.2000000,0,0
plain,262432,2,504.6000000,299.4000000,0,0
plain,262432,4,2158.6000000,1992.0000000,0,0
plain,262432,8,491.8000000,314.4000000,0,0
plain,262432,16,648.4000000,281.6000000,0,0
plain,524576,1,7302.8000000,.4000000,0,0
plain,524576,2,483.0000000,293.4000000,0,0
plain,524576,4,2093.6000000,1996.2000000,0,0
plain,524576,8,446.8000000,293.8000000,0,0
plain,524576,16,565.4000000,289.0000000,0,0
plain,1048864,1,2150.8000000,1.2000000,0,0
plain,1048864,2,403.4000000,306.8000000,0,0
plain,1048864,4,2185.6000000,2048.0000000,0,0
plain,1048864,8,488.6000000,314.8000000,0,0
plain,1048864,16,682.2000000,273.6000000,0,0
