,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.613764,0.270397,0.37868
2,0.326483,0.141746,0.206017
4,0.195708,0.10387,0.14396
8,0.115419,0.056415,0.077855
16,0.068622,0.033032,0.043356
