,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.440109,0.354633,1.14462
2,1.28367,0.208518,0.62255
4,1.031031,0.122917,0.500941
8,1.060638,0.063862,0.4942
16,1.113222,0.037816,0.428758
