type,logsize,thread,abort,conflict,capacity,explicit
db,33056,1,28412.4000000,1106.8000000,1743.2000000,5040.6000000
db,33056,2,11869.2000000,3206.2000000,2502.2000000,5828.6000000
db,33056,4,15278.8000000,3746.4000000,2426.8000000,8791.4000000
db,33056,8,18786.6000000,4955.6000000,2602.4000000,10504.6000000
db,33056,16,21122.0000000,1635.6000000,3439.2000000,11007.2000000
db,65824,1,39322.0000000,484.0000000,1755.0000000,2310.8000000
db,65824,2,6980.8000000,1775.0000000,2271.8000000,2557.2000000
db,65824,4,8661.2000000,2188.2000000,2145.6000000,4046.8000000
db,65824,8,11860.0000000,4273.8000000,2482.6000000,4490.8000000
db,65824,16,19138.8000000,8021.4000000,3243.4000000,5056.0000000
db,131360,1,25786.2000000,259.4000000,1558.0000000,1121.8000000
db,131360,2,4813.2000000,1036.6000000,2014.6000000,1258.8000000
db,131360,4,6325.6000000,1902.6000000,2001.4000000,1917.0000000
db,131360,8,8985.2000000,3210.6000000,2383.2000000,2120.6000000
db,131360,16,15455.2000000,8107.8000000,2972.0000000,2621.8000000
db,262432,1,38835.4000000,147.6000000,1637.8000000,543.4000000
db,262432,2,4428.2000000,936.0000000,1916.2000000,604.4000000
db,262432,4,5264.6000000,1620.0000000,1828.8000000,902.6000000
db,262432,8,7602.2000000,3360.6000000,2260.4000000,1044.8000000
db,262432,16,12903.8000000,7107.8000000,2760.2000000,1512.8000000
db,524576,1,39617.8000000,70.8000000,1655.8000000,285.6000000
db,524576,2,4415.6000000,735.8000000,1895.0000000,307.6000000
db,524576,4,5446.4000000,1876.2000000,1749.8000000,440.8000000
db,524576,8,7493.2000000,3286.4000000,2139.0000000,560.2000000
db,524576,16,12087.2000000,6748.2000000,2590.2000000,986.0000000
db,1048864,1,35759.8000000,28.8000000,1693.2000000,173.6000000
db,1048864,2,4923.8000000,650.0000000,1943.4000000,156.6000000
db,1048864,4,6059.0000000,1637.2000000,1710.2000000,229.0000000
db,1048864,8,8047.8000000,3322.8000000,2057.6000000,337.4000000
db,1048864,16,8798.2000000,3803.6000000,2193.2000000,447.6000000
