type,logsize,thread,abort,conflict,capacity,explicit
db,33056,1,68827.2000000,1338.8000000,24911.0000000,11392.8000000
db,33056,2,76961.0000000,26836.6000000,16022.4000000,13345.0000000
db,33056,4,85278.0000000,42390.6000000,10242.2000000,18071.0000000
db,33056,8,108060.0000000,66228.8000000,6785.4000000,20237.0000000
db,33056,16,135464.8000000,93571.4000000,4595.0000000,21261.6000000
db,65824,1,63275.8000000,571.6000000,25289.2000000,4931.2000000
db,65824,2,68453.0000000,24546.4000000,17420.0000000,6313.4000000
db,65824,4,72376.8000000,38119.6000000,11456.6000000,8667.2000000
db,65824,8,90076.6000000,62237.6000000,6860.4000000,10765.8000000
db,65824,16,120185.6000000,89336.6000000,4488.6000000,14055.2000000
db,131360,1,59654.0000000,251.8000000,25349.6000000,2394.0000000
db,131360,2,64401.4000000,23506.2000000,17979.0000000,2833.0000000
db,131360,4,66474.2000000,36441.6000000,11476.2000000,4144.4000000
db,131360,8,83814.4000000,61878.2000000,6186.0000000,5498.2000000
db,131360,16,110399.8000000,88370.2000000,4458.2000000,9301.0000000
db,262432,1,63979.2000000,129.6000000,25279.2000000,1069.8000000
db,262432,2,62380.2000000,23619.2000000,17444.0000000,1301.2000000
db,262432,4,64596.2000000,37764.2000000,10699.0000000,2134.0000000
db,262432,8,81561.4000000,62908.8000000,5742.2000000,3521.0000000
db,262432,16,106238.6000000,86866.2000000,4242.8000000,7192.8000000
db,524576,1,69626.8000000,48.8000000,25375.2000000,574.8000000
db,524576,2,62552.6000000,23337.8000000,17682.4000000,649.6000000
db,524576,4,64516.8000000,38303.8000000,10213.0000000,1307.2000000
db,524576,8,81485.4000000,63582.4000000,5508.2000000,2763.4000000
db,524576,16,103342.4000000,82689.0000000,4291.8000000,5878.4000000
db,1048864,1,67782.2000000,26.6000000,25458.6000000,323.2000000
db,1048864,2,62359.8000000,22891.2000000,17801.2000000,389.4000000
db,1048864,4,65799.2000000,39818.0000000,9884.2000000,923.8000000
db,1048864,8,80026.4000000,61272.8000000,5918.8000000,2261.2000000
db,1048864,16,87891.6000000,64926.4000000,6881.6000000,3208.0000000
