,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.25269,0.257722,1.589688
5,1.40637,0.081758,0.846144
9,3.150565,0.047944,1.875266
13,4.683303,0.037509,4.354157
17,9.725934,0.032153,5.756208
21,13.523028,0.036631,10.307751
