,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,33.249091,3.145237,14.093927
2,13.350012,1.433875,5.856997
4,6.447591,0.756545,3.179795
8,5.308808,0.381155,2.796036
