,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.222157,0.328784,1.071557
2,1.103814,0.2032,0.546075
4,0.876375,0.120419,0.408407
8,1.817692,0.063229,0.753557
16,5.078327,0.038217,2.555005
