,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.403445,0.248088,0.262367
2,1.297321,0.147595,0.16215
4,0.696114,0.08174,0.095256
8,0.424793,0.045063,0.052454
16,0.262945,0.027075,0.030409
