,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.22298,0.261111,0.346805
5,0.186833,0.083374,0.106521
9,0.131709,0.049536,0.064413
13,0.105679,0.037957,0.048702
17,0.085935,0.030494,0.039072
21,0.184866,0.03911,0.071449
