,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.321067,0.35242,1.066636
2,1.137963,0.208626,0.529
4,0.840684,0.123262,0.375419
8,0.76364,0.064153,0.345464
16,0.748876,0.038736,0.242712
