thread,abort,conflict,capacity,explicit
1,209.2000000,141.4000000,.2000000,0
2,270.4000000,150.8000000,1.2000000,25.8000000
4,367.4000000,139.2000000,3.2000000,113.0000000
8,743.4000000,310.0000000,7.2000000,292.6000000
16,1516.6000000,582.4000000,11.6000000,677.0000000
