thread,abort,conflict,capacity,explicit
1,310.4000000,169.4000000,0,0
2,382.2000000,185.0000000,0,0
4,390.2000000,189.2000000,0,0
8,552.0000000,194.6000000,0,0
16,639.8000000,170.6000000,0,0
