,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.443026,0.299478,0.331601
2,0.23354,0.138851,0.181696
4,0.153725,0.100276,0.131997
8,0.0878,0.05559,0.072872
16,0.049218,0.032688,0.040145
