thread,abort,conflict,capacity,explicit
1,742.4000000,53.4000000,0,0
2,1347.4000000,781.8000000,3.2000000,35.4000000
4,2988.8000000,2501.0000000,13.4000000,83.8000000
8,10285.2000000,9661.0000000,24.6000000,243.4000000
16,14694.4000000,13593.6000000,44.6000000,458.4000000
