thread,abort,conflict,capacity,explicit
1,354.0000000,191.0000000,0,0
2,303.2000000,169.2000000,0,0
4,308.4000000,160.6000000,0,0
8,394.8000000,185.4000000,0,0
16,803.8000000,164.4000000,0,0
