thread,abort,conflict,capacity,explicit
1,314.4000000,134.6000000,0,0
2,289.4000000,155.2000000,1.0000000,24.8000000
4,407.8000000,153.6000000,5.2000000,111.0000000
8,771.4000000,309.2000000,7.2000000,332.4000000
16,1741.2000000,686.8000000,11.0000000,799.4000000
