,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.262162,0.350634,1.093236
2,1.437745,0.211193,0.640554
4,1.138083,0.123903,0.504709
8,1.065452,0.063711,0.474627
16,1.080781,0.038562,0.387376
