,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,23.204397,1.408619,2.030482
2,11.702152,0.732178,1.05068
4,6.266702,0.39926,0.580739
8,3.305369,0.225703,0.319953
16,1.834788,0.129439,0.190495
