,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.329499,0.205312,0.217159
2,1.235267,0.129753,0.151349
4,0.684733,0.066241,0.080174
8,0.41453,0.037858,0.044835
16,0.259434,0.023441,0.026772
