,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.022749,0.360546,0.949861
2,1.168427,0.211973,0.588016
4,0.890328,0.124769,0.44471
8,1.173796,0.064448,0.435647
16,5.063042,0.03763,2.20456
