type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,12358.6000000,.4000000,0,0
plain,33056,2,415.4000000,316.2000000,0,0
plain,33056,4,2101.0000000,1986.8000000,0,0
plain,33056,8,517.6000000,313.4000000,0,0
plain,33056,16,663.0000000,307.0000000,0,0
plain,65824,1,7905.0000000,.6000000,0,0
plain,65824,2,480.4000000,328.4000000,.2000000,0
plain,65824,4,2202.6000000,2042.0000000,0,0
plain,65824,8,421.6000000,289.8000000,0,0
plain,65824,16,658.4000000,281.6000000,0,0
plain,131360,1,9425.0000000,0,0,0
plain,131360,2,569.8000000,289.8000000,0,0
plain,131360,4,2242.2000000,1957.8000000,0,0
plain,131360,8,566.0000000,298.2000000,.2000000,0
plain,131360,16,610.8000000,291.8000000,0,0
plain,262432,1,5652.0000000,.2000000,0,0
plain,262432,2,536.4000000,267.2000000,0,0
plain,262432,4,2146.2000000,1938.0000000,0,0
plain,262432,8,456.6000000,290.0000000,0,0
plain,262432,16,629.0000000,288.4000000,0,0
plain,524576,1,1535.8000000,8.8000000,0,0
plain,524576,2,478.2000000,277.8000000,0,0
plain,524576,4,2195.4000000,1988.8000000,0,0
plain,524576,8,553.0000000,289.0000000,.2000000,0
plain,524576,16,701.6000000,287.0000000,.2000000,0
plain,1048864,1,11965.6000000,.6000000,0,0
plain,1048864,2,607.0000000,318.6000000,0,0
plain,1048864,4,2215.2000000,1949.0000000,0,0
plain,1048864,8,429.4000000,285.8000000,0,0
plain,1048864,16,644.6000000,291.2000000,0,0
