type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,88179.2000000,2405.0000000,22772.4000000,26115.0000000
plain,33056,2,103689.8000000,47563.6000000,10411.4000000,23514.4000000
plain,33056,4,86737.4000000,19436.2000000,14686.4000000,28125.8000000
plain,33056,8,98775.8000000,14958.2000000,20096.8000000,28343.2000000
plain,33056,16,97264.2000000,7903.8000000,23319.6000000,27394.4000000
plain,65824,1,77219.4000000,5731.0000000,23739.6000000,12618.4000000
plain,65824,2,84791.0000000,36813.8000000,13779.2000000,12001.2000000
plain,65824,4,90418.2000000,46593.6000000,11170.6000000,16105.8000000
plain,65824,8,94895.6000000,32030.2000000,15515.2000000,22997.6000000
plain,65824,16,88217.0000000,11877.4000000,22454.4000000,20328.6000000
plain,131360,1,83590.4000000,4220.8000000,23959.2000000,6300.8000000
plain,131360,2,69939.8000000,24233.2000000,17028.6000000,6225.8000000
plain,131360,4,76070.0000000,37786.0000000,12630.4000000,9186.0000000
plain,131360,8,87758.6000000,46227.8000000,11282.6000000,14512.4000000
plain,131360,16,82630.4000000,14153.4000000,21996.0000000,15177.4000000
plain,262432,1,76864.8000000,1159.4000000,24257.0000000,3235.6000000
plain,262432,2,63752.6000000,20108.2000000,17928.0000000,3281.6000000
plain,262432,4,68069.4000000,35252.8000000,12206.8000000,4667.8000000
plain,262432,8,83228.0000000,55315.0000000,8516.8000000,6741.8000000
plain,262432,16,91913.0000000,49688.2000000,11797.2000000,11379.4000000
plain,524576,1,73816.2000000,264.0000000,24271.4000000,1577.8000000
plain,524576,2,61692.2000000,18658.8000000,18271.4000000,1758.6000000
plain,524576,4,66638.6000000,36547.2000000,11536.4000000,2583.0000000
plain,524576,8,80884.6000000,58340.0000000,7566.4000000,3918.6000000
plain,524576,16,101211.4000000,79146.6000000,4763.0000000,7020.2000000
plain,1048864,1,77699.4000000,71.0000000,25144.0000000,796.0000000
plain,1048864,2,61926.6000000,19368.8000000,18057.0000000,938.8000000
plain,1048864,4,66058.8000000,36521.6000000,11415.6000000,1486.8000000
plain,1048864,8,80870.4000000,58593.6000000,7487.8000000,2746.6000000
plain,1048864,16,102727.8000000,80762.4000000,4467.2000000,5808.2000000
