,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,1.10374,0.520503,0.693507
2,0.607333,0.287215,0.377862
4,0.347696,0.171837,0.224537
8,0.201601,0.094142,0.130826
16,0.127162,0.052743,0.069174
32,0.330431,0.054925,0.150777
