,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,2.737647,1.941966,2.276093
2,3.498324,0.981867,2.546875
4,2.475548,0.507059,1.831969
8,3.970613,0.248305,2.016387
16,17.998109,0.129994,1.918447
