,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,50.749175,52.294831,58.895382
6,12.400676,8.681895,9.471665
11,8.079577,4.815619,5.301951
16,7.173866,4.921399,5.618238
21,6.756492,4.539354,5.204117
26,14.525683,4.070545,4.781641
