,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.268352,0.262748,1.372138
5,1.350428,0.083425,0.761863
9,2.751899,0.050549,1.709751
13,4.792226,0.037754,3.312201
17,9.186541,0.032223,5.174365
21,14.65683,0.040118,8.159373
