,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,81.711655,78.651207,86.27092
6,22.122304,12.862391,16.113268
11,14.508369,7.120675,10.050093
16,12.754435,7.434116,10.602647
21,12.021253,6.826693,9.902631
26,26.284589,6.071424,9.049389
