,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,0.616221,0.266506,0.382627
2,0.328855,0.13815,0.235443
4,0.194653,0.103679,0.143335
8,0.115429,0.057106,0.078741
16,0.068057,0.033272,0.044045
