,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,38.956742,3.010157,16.027996
2,16.020182,1.407283,7.313293
4,12.683048,0.742756,5.722438
8,26.485039,0.372503,11.391078
16,61.365407,0.190872,28.48851
