,insert_concurrent.exe,search_concurrent.exe,delete_concurrent.exe
1,37.995297,3.12653,16.321935
2,15.415373,1.424635,7.01533
4,7.534584,0.759832,3.674398
8,5.638309,0.380334,2.913484
