thread,HTM-block,Checkpoint-block,Abort
1,.0209932,.0003796,.5257334
2,.0079336,.0291041,.1989153
4,.1745504,.0978601,.0704860
8,.2787952,.2966056,.0294389
16,.1793425,.4889536,.0214472
