thread,HTM-block,Checkpoint-block,Abort
1,.3623662,.0000016,.0638314
2,.1613211,.0000681,.0147845
4,.2059619,.0001708,.0105150
8,.6689082,.0000512,.0063414
16,2.3053597,.0000145,.0035387
