thread,HTM-block,Checkpoint-block,Abort
1,.0058132,0,.0476040
2,.0065894,.0000492,.0064610
4,.1162656,.0017177,.0037298
8,.2111455,.0129082,.0026171
16,.2727258,.0645878,.0020047
