thread,HTM-block,Checkpoint-block,Abort
1,.5196628,.0003602,.5090994
2,.4339444,.0219392,.2152653
4,.4702236,.0309800,.0816687
8,.5575135,.0447688,.0345299
16,.7135489,.0568190,.0166890
