thread,HTM-block,Checkpoint-block,Abort
1,.2495820,0,.0378812
2,.2201189,.0000182,.0035479
4,.2274492,.0001131,.0034599
8,.2764551,.0003692,.0023689
16,1.5729067,.0004698,.0020055
