thread,HTM-block,Checkpoint-block,Abort
1,.2020490,.0000064,.0261334
2,.1947049,.0000445,.0078371
4,.2262128,.0001193,.0055082
8,.3210575,.0002453,.0036426
16,2.0051953,.0000543,.0033340
